Source,Target,Weight,
10033465,7045004,0.731059,
10035842,9568894,0.880797,
10064545,14169882,0.982014,
10064545,25003905,0.731059,
10064545,27783162,0.982014,
10064545,27788951,0.982014,
10064545,27804716,0.999665,
10064545,27828339,0.993307,
10064545,32024574,0.731059,
10064545,757363,0.880797,
10064545,8962829,0.731059,
10067157,9996255,0.731059,
10126908,9325315,0.952574,
10152133,3678731,0.731059,
10153040,4523235,0.880797,
10175031,3594497,0.731059,
10178188,17307763,0.731059,
1020639,9120498,0.880797,
10247874,22642120,0.731059,
10247874,7691631,0.880797,
10256919,38388440,0.731059,
10256919,8043756,0.999877,
10270250,11061773,0.731059,
10270250,29028775,0.880797,
10320928,37291353,0.731059,
10350614,5806776,0.731059,
10391073,1431547,0.731059,
10391073,15404425,0.731059,
10399273,4723248,0.731059,
10399553,10399273,0.731059,
10431493,8587669,0.731059,
10453695,10664,0.731059,
10469184,5806776,0.731059,
1049095,2884603,0.731059,
10533455,929845,0.731059,
10556194,27352490,0.952574,
10579297,39577429,0.731059,
10653490,1390248,0.731059,
10664,10453695,0.952574,
10697582,18460320,0.731059,
10707658,16297763,0.999089,
10776021,2560988,0.731059,
107872,168370,0.731059,
107872,27,0.880797,
10800667,3989388,0.731059,
108278,14132156,0.731059,
108278,17303641,0.731059,
108278,2863853,0.731059,
108278,4056288,0.880797,
1084114,19504824,0.731059,
10851820,29455960,0.993307,
10865,8514,0.731059,
10887157,48296,0.731059,
1090311,168370,0.731059,
1090311,20619044,0.731059,
1090311,24636787,0.731059,
1090311,24636789,0.731059,
1090311,25312455,0.731059,
1090311,25312459,0.880797,
1090311,25312483,0.731059,
10908696,1039520,0.731059,
10908696,16469697,0.731059,
10969551,8711353,1.000000,
10975056,9325315,0.731059,
10985948,7467217,0.731059,
11002815,3080613,0.731059,
11002815,858127,0.880797,
1103054,2183193,0.731059,
11061773,24560307,0.880797,
11061773,31404632,0.880797,
11061773,321278,0.880797,
11061773,38386462,0.731059,
11116372,16386099,0.731059,
11116372,39316027,0.731059,
11131631,4524181,0.731059,
11167738,16415622,0.880797,
11167738,23215103,0.731059,
11167738,28062827,0.880797,
11180687,23096959,0.731059,
11187998,15426083,0.731059,
11198185,26554,0.731059,
11213384,20580498,0.731059,
11225014,13512328,0.731059,
11289812,19205896,0.731059,
11290232,11225014,0.731059,
11290232,23096959,0.731059,
11344473,24468283,0.731059,
11344473,25008788,0.880797,
11344473,27200766,0.880797,
11379921,21172715,0.880797,
11391151,33653601,0.952574,
11391151,658518,0.731059,
11396385,25652980,0.880797,
11403699,5731348,0.731059,
1142976,2634628,0.880797,
11450181,481872,0.731059,
11461524,21184808,0.731059,
11545371,7177096,0.731059,
11545928,34876145,0.880797,
11551538,14185551,0.731059,
11568417,32944298,0.731059,
11568417,44848499,0.731059,
11589713,11225014,0.880797,
11589713,15045751,0.731059,
11589713,17728164,0.880797,
11589713,20580498,0.880797,
11589713,23096959,0.731059,
11589713,45704630,0.731059,
11589713,7691631,0.999665,
11589713,9461481,0.880797,
11635422,34105868,0.880797,
11658016,21242339,0.731059,
11672345,20929025,0.731059,
11688522,11176360,0.731059,
11688522,34855687,0.952574,
11688522,34856295,0.731059,
117302,168370,0.880797,
11730342,167174,0.731059,
11742728,481872,0.952574,
11753734,19008038,0.880797,
11753734,25738703,0.880797,
11776720,1103607,0.731059,
11778024,11061773,0.731059,
11778024,26191912,0.731059,
11778024,32033179,0.880797,
11780463,4365205,0.731059,
11796974,1424470,0.731059,
11796974,23974149,0.731059,
11796974,27783162,0.880797,
11796974,27828339,0.880797,
11796974,714074,0.880797,
11796974,952189,0.880797,
11803168,11855195,0.952574,
1181927,14531737,0.880797,
1181927,14981376,0.731059,
1181927,206084,0.731059,
11855007,11855195,0.952574,
11855195,11803168,0.731059,
11896413,2163263,0.731059,
11921791,14445965,0.731059,
11924937,11921791,0.731059,
11935993,2165383,0.880797,
11939484,11403699,0.731059,
11939484,15778059,0.731059,
11939484,206084,0.731059,
11980558,65252,0.731059,
11994902,23096959,0.731059,
119955,168370,0.731059,
1200050,25993378,0.731059,
1200050,7613257,0.731059,
12067406,7792553,0.731059,
1210071,7691631,0.731059,
1211978,9384267,0.731059,
12146969,20775600,0.999089,
1217831,23096959,0.731059,
12243435,34876145,0.731059,
12256376,14562056,0.999998,
12256376,19716234,0.731059,
12256376,30084005,0.731059,
12278235,19382615,0.731059,
123299,6884828,0.982014,
12357974,11403699,0.731059,
12359519,9887009,0.731059,
12387090,33653601,0.731059,
12418525,6358188,0.731059,
12418999,23096959,0.731059,
12445598,3016562,0.999665,
12450349,596892,0.731059,
12467623,7691631,0.731059,
12499251,4950187,0.731059,
1252,447184,0.731059,
12590126,28924109,0.731059,
12601374,29028775,0.952574,
12646044,4297273,0.731059,
12658090,34068092,0.731059,
1267320,34876145,0.731059,
12708085,15901046,0.731059,
12756992,5108029,0.731059,
12756992,5108051,0.731059,
12785038,6452529,0.731059,
12877731,8266573,0.731059,
12886172,11124336,0.731059,
12888993,38982731,0.982014,
12892263,13345709,0.731059,
12892263,25003905,0.731059,
12915119,488514,0.880797,
12926963,18825519,0.731059,
129582,43371,0.731059,
12977854,9384267,0.731059,
1301745,1632976,0.880797,
1302990,29728425,0.731059,
13049233,4025121,0.731059,
13078968,22498444,0.731059,
13078968,321278,0.731059,
13078968,42318856,0.731059,
13124802,23096959,0.952574,
13127985,1200050,0.731059,
132108,417389,0.880797,
13221727,15884459,0.731059,
13221727,858127,0.731059,
13279839,10391073,0.731059,
13347640,238972,0.880797,
13347640,238986,0.880797,
13347640,363387,0.952574,
13384052,4648505,0.880797,
13410867,597879,0.731059,
13421878,4597760,0.731059,
13429048,14169882,0.731059,
13512328,11225014,0.731059,
13525050,3342046,0.880797,
13567873,6094683,0.731059,
13591023,7470534,0.731059,
13599100,25003905,0.880797,
13599100,5532320,0.880797,
13617177,12418999,0.731059,
13619340,23774298,0.880797,
1362490,1778471,0.731059,
1362490,2410676,0.999983,
1362490,3060959,0.731059,
13633443,24795646,0.731059,
13671114,15508537,0.731059,
13695735,20092180,0.731059,
13753636,19238853,0.880797,
13753636,2055965,0.731059,
13753636,6296790,0.731059,
13779937,6604361,0.731059,
138312,3672542,0.731059,
1385122,1446467,0.731059,
1385122,1460385,0.880797,
1385122,2081289,0.731059,
1385122,28710753,0.731059,
1385122,4704710,0.731059,
1390248,206084,0.731059,
1390248,263379,0.880797,
1390248,481872,0.731059,
13911118,6804324,0.731059,
13934856,6660536,0.731059,
14037931,6093316,0.880797,
14089735,12570984,0.731059,
14089735,2672652,0.731059,
14089735,321278,0.952574,
14119537,10066825,0.731059,
14120618,35310228,0.731059,
14132156,17303641,0.731059,
14145700,23623214,0.731059,
14159669,3623050,0.982014,
14186284,597879,0.731059,
14189339,9384267,0.731059,
14204295,9580168,0.731059,
14211461,11939484,0.731059,
14216341,13124802,0.731059,
14225208,16185172,0.952574,
14225208,17620347,0.952574,
14225208,21449162,0.731059,
14225208,29996513,0.731059,
1424470,4268140,0.880797,
14247166,10247874,0.731059,
14294585,30388450,0.731059,
14294585,4176043,0.731059,
143580,12442243,0.880797,
143580,286516,0.952574,
143580,6862780,0.731059,
1440272,14430294,0.731059,
14410778,13124802,0.731059,
14430294,14132156,0.731059,
14430294,17303641,0.731059,
14430294,33052709,0.731059,
14430294,39073784,0.731059,
14445965,11921791,0.731059,
14448779,2081289,0.999089,
14448779,28710753,0.731059,
1446467,206084,0.880797,
14507,8514,0.731059,
1451352,8962829,0.731059,
14514251,1181927,0.731059,
14531737,1181927,0.952574,
14536054,17453060,0.731059,
14536054,18410674,0.731059,
14536054,355634,0.731059,
14562056,19076737,0.880797,
14562056,32353854,0.731059,
1460385,28710753,0.731059,
14712850,17089728,0.731059,
14757566,9252533,0.731059,
14789533,13753636,0.731059,
148848,17303641,0.731059,
14895592,23404839,0.880797,
1489635,27790033,0.731059,
14909673,19864741,0.731059,
14936840,24560307,0.731059,
149696,17303641,0.731059,
14993021,1385122,0.880797,
14993021,33653617,0.731059,
14993021,33689746,0.731059,
15045751,10247874,0.731059,
15045751,19360616,0.731059,
15045751,22642120,0.731059,
15045751,27494663,0.952574,
15045751,31046054,0.731059,
15045751,7691631,0.731059,
1507818,35312458,0.731059,
15111821,13124802,0.952574,
15111821,4254338,0.731059,
15155534,46474436,0.731059,
15189073,5298790,0.880797,
1520275,614070,0.731059,
15233168,32885727,0.731059,
15241331,501687,0.731059,
15309233,26229585,0.731059,
15330613,18929235,0.731059,
15350898,36837280,0.982014,
15355019,11167738,0.880797,
15382297,18802640,0.731059,
15382297,6670942,0.731059,
15388290,7691631,0.982014,
15404425,10391073,0.731059,
15426083,20460946,0.880797,
15467734,24195339,0.731059,
1549395,3195124,0.731059,
1549395,33644564,0.880797,
1549991,28221116,0.952574,
15508537,7691631,0.731059,
15510233,15510254,0.952574,
15510233,15510373,0.880797,
15510254,15510233,0.731059,
15510373,15510233,0.999089,
15536087,26229585,0.731059,
15584464,23096959,0.731059,
15647808,11924937,0.952574,
15653572,8049897,0.731059,
15693680,36960321,0.880797,
15728293,31873557,0.731059,
15778059,11939484,0.731059,
15778981,24650339,0.731059,
1577990,8514,0.880797,
15800559,9517720,0.731059,
15836199,33744138,0.880797,
15836812,3757512,0.731059,
15846674,11061773,0.982014,
15884459,13221727,0.731059,
15901046,25252102,0.731059,
15901046,9750588,0.731059,
15907354,9257808,0.731059,
15921481,2540368,0.731059,
15974409,2508083,0.952574,
16008423,6235174,0.731059,
16165969,11939484,0.731059,
16174770,17592572,0.731059,
16176198,27441121,0.731059,
16180304,36371959,0.731059,
16180517,36371959,0.880797,
16180517,5952670,0.880797,
16185172,14225208,0.880797,
16185172,17620347,0.731059,
16185172,21449162,0.952574,
16203458,35786536,0.731059,
16241224,25126616,0.731059,
16243570,65252,0.731059,
16286131,2203645,0.952574,
16286131,2725544,0.731059,
16286131,8629417,0.952574,
16297763,10707658,0.731059,
16298112,919161,0.731059,
16328098,24560307,0.731059,
16366081,9252533,0.731059,
16384837,19939216,0.731059,
16384837,6543378,0.731059,
16386099,34876145,0.880797,
16396294,34230966,0.880797,
16415622,28062827,0.731059,
16416867,1441734,0.880797,
16469697,1039520,0.731059,
16469697,10908696,0.880797,
16501535,34876145,0.731059,
16523688,11778024,0.731059,
16554739,33370332,0.952574,
16557832,16557964,0.731059,
16557964,16557832,0.952574,
16563587,11225014,0.952574,
16665655,26845993,0.731059,
