Source,Target,Weight,
,9787757,0.000000,
10033465,44654569,0.703048,
10033465,7045004,0.731059,
10035842,4128353,0.703048,
10035842,9568894,0.880797,
10041891,2183193,0.703048,
10041891,35210580,0.703048,
10045175,29146289,0.703048,
10045175,9787757,0.698848,
10064545,14169882,0.982014,
10064545,23021810,0.703048,
10064545,25003905,0.731059,
10064545,27783162,0.982014,
10064545,27788951,0.982014,
10064545,27804716,0.999665,
10064545,27828339,0.993307,
10064545,29990778,0.703048,
10064545,32024574,0.731059,
10064545,6235174,0.793892,
10064545,757363,0.880797,
10064545,8962829,0.731059,
10064545,9787757,0.691241,
10066825,321278,0.703048,
10067157,2410676,0.703048,
10067157,7691631,0.793892,
10067157,9787757,0.721633,
10067157,9996255,0.731059,
10126908,30541396,0.703048,
10126908,5282596,0.837103,
10126908,9325315,0.952574,
10152133,3678731,0.731059,
10153040,4523235,0.880797,
10175031,3594497,0.731059,
10178188,17307763,0.731059,
10187082,7512484,0.703048,
10187082,9787757,0.698848,
1020639,2003641,0.703048,
1020639,9120498,0.880797,
1020639,9384267,0.703048,
10247874,11344473,0.703048,
10247874,22642120,0.731059,
10247874,2750721,0.703048,
10247874,33689746,0.703048,
10247874,36960321,0.703048,
10247874,4268140,0.703048,
10247874,6094683,0.703048,
10247874,7691631,0.880797,
10247874,9787757,0.714366,
10256919,38388440,0.731059,
10256919,8043756,0.999877,
10256919,865412,0.703048,
10270250,11061773,0.731059,
10270250,12646044,0.703048,
10270250,17303641,0.703048,
10270250,19711806,0.703048,
10270250,2729788,0.703048,
10270250,29028775,0.880797,
10270250,29925961,0.703048,
10270250,321278,0.837103,
10270250,6059122,0.703048,
10270250,9787757,0.730388,
10312708,23403252,0.703048,
10320928,37291353,0.731059,
10350614,5806776,0.731059,
10391073,14089735,0.703048,
10391073,1431547,0.731059,
10391073,15404425,0.731059,
10391073,20580498,0.703048,
10391073,7691631,0.703048,
10391073,858127,0.703048,
1039520,1441734,0.703048,
1039520,25312483,0.703048,
10399273,4723248,0.731059,
10399553,10399273,0.731059,
10431493,8587669,0.731059,
10453695,10664,0.731059,
10453695,1390248,0.837103,
10469184,5806776,0.731059,
1049095,11344473,0.703048,
1049095,2884603,0.731059,
1052675,29028775,0.703048,
10533455,929845,0.731059,
10556194,27352490,0.952574,
10556194,7789923,0.793892,
10556194,9787757,0.703780,
10579297,39577429,0.731059,
106310,21641241,0.703048,
106310,27654303,0.793892,
1064563,27729926,0.864050,
1064563,3678731,0.703048,
10653490,1390248,0.731059,
10664,10453695,0.952574,
10664,17728164,0.703048,
10664,2081289,0.703048,
10664,8587669,0.703048,
10697582,11167738,0.703048,
10697582,18460320,0.731059,
10697582,23229746,0.703048,
10697582,34294743,0.861524,
10697582,3594497,0.703048,
106995,13527761,0.703048,
10707658,16297763,0.999089,
10707658,8629417,0.703048,
10755256,15350898,0.703048,
10776021,2560988,0.731059,
107872,168370,0.731059,
107872,203666,0.793892,
107872,27,0.880797,
10800667,3989388,0.731059,
108278,108278,0.703048,
108278,14132156,0.731059,
108278,17303641,0.731059,
108278,22442668,0.703048,
108278,2863853,0.731059,
108278,29309660,0.703048,
108278,29946971,0.703048,
108278,3308958,0.703048,
108278,3638964,0.703048,
108278,4056288,0.880797,
108278,5672873,0.703048,
108278,5710341,0.703048,
108278,9787757,0.703720,
1084114,19504824,0.731059,
1084114,8514,0.703048,
10851820,22878143,0.793892,
10851820,29455960,0.993307,
10851820,6093316,0.793892,
10865,8514,0.731059,
10887157,48296,0.731059,
1090311,10270250,0.793892,
1090311,1090311,0.793892,
1090311,168370,0.731059,
1090311,20619044,0.731059,
1090311,24636787,0.731059,
1090311,24636789,0.731059,
1090311,25312455,0.731059,
1090311,25312459,0.880797,
1090311,25312483,0.731059,
1090311,259691,0.854761,
1090311,3149845,0.703048,
1090311,34693515,0.703048,
1090311,40841283,0.703048,
1090311,843222,0.793892,
1090311,9214768,0.703048,
1090311,9787757,0.701936,
1090311,9887009,0.793892,
10908696,1039520,0.731059,
10908696,16469697,0.731059,
10969551,19994257,0.837103,
10969551,8711353,1.000000,
10969551,9787757,0.703720,
10975056,9325315,0.731059,
10985948,7467217,0.731059,
11002815,3080613,0.731059,
11002815,3824442,0.793892,
11002815,858127,0.880797,
11002815,9787757,0.675038,
1103054,13633443,0.703048,
1103054,20929025,0.703048,
1103054,2183193,0.731059,
1103607,25738703,0.703048,
11061773,1103607,0.703048,
11061773,16416867,0.837103,
11061773,21273155,0.703048,
11061773,24560307,0.880797,
11061773,29478506,0.703048,
11061773,29561893,0.703048,
11061773,29849956,0.703048,
11061773,31404632,0.880797,
11061773,321278,0.880797,
11061773,3757512,0.854761,
11061773,38386462,0.731059,
11061773,7691631,0.837103,
11061773,8043756,0.703048,
11061773,9787757,0.691241,
11116372,16386099,0.731059,
11116372,20929025,0.703048,
11116372,39316027,0.731059,
11124336,8266573,0.703048,
11131631,4524181,0.731059,
11167738,16415622,0.880797,
11167738,23215103,0.731059,
11167738,27442967,0.703048,
11167738,28062827,0.880797,
11167738,36837280,0.793892,
11167738,3885202,0.703048,
11167738,5532320,0.703048,
11167738,5710341,0.793892,
11167738,843222,0.703048,
11176360,11176360,0.703048,
11176360,206084,0.703048,
11176360,20929025,0.703048,
11176360,9787757,0.703557,
11180687,23096959,0.731059,
11187998,15426083,0.731059,
11198185,26554,0.731059,
11213384,20580498,0.731059,
11225014,13512328,0.731059,
11225014,14169882,0.703048,
11225014,16557832,0.837103,
11225014,19205896,0.703048,
11225014,2003641,0.793892,
11225014,37489525,0.703048,
11225014,44848499,0.793892,
11225014,4803400,0.703048,
11233996,2649031,0.793892,
11289812,1052675,0.861524,
11289812,19205896,0.731059,
11290232,11225014,0.731059,
11290232,23096959,0.731059,
11344473,20667318,0.703048,
11344473,24468283,0.731059,
11344473,25008788,0.880797,
11344473,27200766,0.880797,
11344473,34876145,0.793892,
11344473,5532320,0.703048,
11379921,14089735,0.703048,
11379921,21172715,0.880797,
11391151,33653601,0.952574,
11391151,658518,0.731059,
11391151,8100172,0.703048,
11391151,9787757,0.691241,
11396385,25652980,0.880797,
11403699,2165383,0.703048,
11403699,5731348,0.731059,
11403699,6884828,0.703048,
11403699,9986619,0.861524,
1142976,25196738,0.703048,
1142976,2634628,0.880797,
1142976,34876145,0.703048,
11450181,481872,0.731059,
11461524,21184808,0.731059,
11545371,7177096,0.731059,
11545928,10187082,0.703048,
11545928,14089735,0.703048,
11545928,29891188,0.703048,
11545928,34876145,0.880797,
11545928,9787757,0.691241,
11551538,14185551,0.731059,
11551538,29688210,0.703048,
11568417,32944298,0.731059,
11568417,44848499,0.731059,
11589713,11225014,0.880797,
11589713,15045751,0.731059,
11589713,17728164,0.880797,
11589713,20580498,0.880797,
11589713,23096959,0.731059,
11589713,27,0.703048,
11589713,45704630,0.731059,
11589713,6498492,0.703048,
11589713,7691631,0.999665,
11589713,9461481,0.880797,
11589713,9787757,0.703815,
11621778,10064545,0.864050,
11635422,34105868,0.880797,
11658016,21242339,0.731059,
11672345,20929025,0.731059,
11688522,11176360,0.731059,
11688522,34855687,0.952574,
11688522,34856295,0.731059,
117302,107872,0.703048,
117302,168370,0.880797,
11730342,167174,0.731059,
11730342,4723248,0.703048,
11742728,481872,0.952574,
11753734,19008038,0.880797,
11753734,19390712,0.703048,
11753734,25738703,0.880797,
11776720,1103607,0.731059,
11778024,11061773,0.731059,
11778024,206084,0.703048,
11778024,23096959,0.703048,
11778024,26191912,0.731059,
11778024,27828339,0.703048,
11778024,32033179,0.880797,
11778024,34876145,0.703048,
11780463,4365205,0.731059,
11796974,1424470,0.731059,
11796974,23974149,0.731059,
11796974,27783162,0.880797,
11796974,27828339,0.880797,
11796974,714074,0.880797,
11796974,952189,0.880797,
11803168,11855195,0.952574,
1181927,1181927,0.837103,
1181927,14531737,0.880797,
1181927,14981376,0.731059,
1181927,206084,0.731059,
1181927,8962829,0.703048,
1181927,9461481,0.854761,
11855007,11855195,0.952574,
11855195,11803168,0.731059,
11855195,206084,0.837103,
11855195,952189,0.837103,
11896413,2163263,0.731059,
11921791,14445965,0.731059,
11921791,39073784,0.703048,
11921791,9787757,0.726280,
11924937,11921791,0.731059,
